symbols
IFBIND
IFCI
RBA
SHIVAMILLS
MOGSEC
ASTERDM
INDHOTEL
INDIACEM
INDIAGLYCO
INDIANHUME
RVHL
GMMPFAUDLR
GILLETTE
TARC
MGEL
INFY
INGERRAND
GODHA
FAIRCHEMOR
TATAINVEST
IOC
LINDEINDIA
BECTORFOOD
IONEXCHANG
IPCALAB
ITC
ATFL
HGINFRA
ITI
IVP
JAYBARMARU
JAYSREETEA
JBCHEPHARM
JINDALPOLY
KANPRPLA
AWHCL
KABRAEXTRU
KAJARIACER
KAKATCEM
KPIL
KAMATHOTEL
KANORICHEM
KARURVYSYA
KCP
KESORAMIND
CARYSIL
CUMMINSIND
KOPRAN
KOTAKBANK
WEALTH
LIQUIDETF
KREBSBIO
KSB
TRENT
LAXMIMACH
LIBERTSHOE
LICHSGFIN
LUMAXIND
LYKALABS
IRFC
M&M
RAMCOCEM
INDIGOPNTS
CHENNPETRO
HOMEFIRST
VTL
MAHSCOOTER
MAHSEAMLES
MANGLMCEM
STOVEKRAFT
MARALOVER
MASTEK
MFSL
BDL
RAJMET
AKG
BOSCHLTD
SUNDARMHLD
GENCON
MIRCELECTR
PENINLAND
MOREPENLAB
BANDHANBNK
MOTOGENFIN
IRISDOREME
MRF
MRPL
HLEGLAS
MTNL
HAL
BESTAGRO
MUNJALSHOW
MURUDCERA
HEIDELBERG
NCC
SMCGLOBAL
CPSEETF
JAYNECOIND
NURECA
KBCGLOBAL
NAVNETEDUL
NELCO
SANDHAR
NEULANDLAB
PEL
NILKAMAL
RAILTEL
CONSUMBEES
NKIND
NOCIL
CENTRUM
MIDHANI
ONGC
ONWARDTEC
ISEC
SILGO
ORIENTHOT
ORIENTPPR
BCLIND
OSWALAGRO
PGHH
HUHTAMAKI
3PLAND
AMJLAND
LEMONTREE
HERANBA
SEAMECLTD
IT
DIVOPPBEES
PFIZER
PCBL
PIDILITIND
POLYPLEX
PRAJIND
PRAKASH
MTARTECH
PRECOT
BUTTERFLY
PRECWIRE
PRSMJOHNSN
JUBLINGREA
EASEMYTRIP
RSWM
CHEMFAB
RAJSREESUG
RALLIS
ANURAS
RANASUG
LXCHEM
RANEHOLDIN
CRAFTSMAN
RCF
HITECH
RELIANCE
RICOAUTO
RIIL
RUBYMILLS
KALYANKJIL
SAIL
SAKHTISUG
SURYODAY
ORIENTELEC
ORTINLAB
NAZARA
SANDESH
SANGHIIND
SUVIDHAA
BSE500IETF
WONDERLA
KOHINOOR
AXISTECETF
SAURASHCEM
SOTL
SDL26BEES
JINDALSAW
SBIN
SCI
VEDL
SESHAPAPER
SHANTIGEAR
INDOSTAR
SHREDIGCEM
SHREECEM
SHREYANIND
BARBEQUE
SHREYAS
HONDAPOWER
BORORENEW
SIEMENS
GILT5YBEES
SKFINDIA
LODHA
JTEKTINDIA
SPIC
SRF
TEMBO
STARPAPER
DEEPINDS
SPMLINFRA
SUBROS
SUDARSCHEM
ISGEC
SUNDARMFIN
SUNDRMFAST
SUNFLAG
SUNPHARMA
SUPERSPIN
SUPREMEIND
SURYAROSNI
SWARAJENG
SMLISUZU
AGARIND
AJOONI
TATACHEM
TATAELXSI
HONAUT
TATAPOWER
TATACONSUM
BBOX
TATAMOTORS
TFCILTD
THERMAX
THOMASCOOK
CLSEL
TIRUMALCHM
TATASTEEL
TITAN
MAFANG
TNPETRO
TORNTPHARM
AXISBPSETF
TTKPRESTIG
ADANIGREEN
UCAL
UNICHEMLAB
UNIVCABLES
AXISHCETF
HEALTHIETF
JUBLPHARMA
VARDMNPOLY
SOLARA
VESUVIUS
VINDHYATEL
VIPIND
VLSFINANCE
VOLTAS
TATACOMM
VSTIND
WALCHANNAG
FINEORG
VENKEYS
RITES
WHEELS
WILLAMAGOR
IWEL
WIPRO
WSTCSTPAPR
VINEETLAB
ZEEL
ARIHANTCAP
ZUARIIND
BHARATRAS
TOKYOPLAST
VARROC
SOMANYCERA
HATSUN
CAPLIPOINT
PREMIERPOL
KHAITANLTD
NATCOPHARM
GOCLCORP
REMSONSIND
TNPL
GREENPLY
CORALFINAC
PVP
NAVA
JAYAGROGN
PANACEABIO
MARICO
SILINV
HBSL
SAMBHAAV
BIOFILCHEM
NORBTEAEXP
TCNSBRANDS
SUNDRMBRAK
SANGAMIND
MOTHERSON
VISAKAIND
WENDT
HDFCAMC
DENORA
STERTOOLS
SHRIRAMFIN
PUNJABCHEM
SENSEXIETF
GULFOILLUB
MIRZAINT
JAGSNPHARM
CREDITACC
INDIANCARD
AARTIDRUGS
ALKYLAMINE
JCHAC
MPHASIS
SIGIND
DYNAMATECH
NEXT50IETF
GUJRAFFIA
RUCHINFRA
RAMCOIND
KOTHARIPET
HERITGFOOD
SBCL
BANKBARODA
SONACOMS
SHYAMMETL
GAIL
SKMEGGPROD
BANKINDIA
INDNIPPON
CONCOR
INDRAMEDCO
KCPSUGIND
DODLA
LIQUIDIETF
SNOWMAN
KIMS
INDSWFTLAB
SAREGAMA
FDC
ENGINERSIN
MADRASFERT
IPL
ADROITINFO
ICICIBANK
PHARMABEES
IRCON
SHARDACROP
SVPGLOB
CLEAN
GRINFRA
SHEMAROO
ZOMATO
KPIGREEN
SGIL
CIGNITITEC
JAICORPLTD
TATVA
SBIETFCON
STYLAMIND
ANTGRAPHIC
GMDCLTD
BFSI
MAHAPEXLTD
INDUSINDBK
PDSL
GLS
ROLEXRINGS
PRITIKAUTO
FMCGIETF
UGROCAP
EXXARO
KRSNAA
WINDLAS
DEVYANI
ASAHIINDIA
EPIGRAL
AAVAS
MOL
NGIL
CARTRADE
NUVOCO
APTUS
CHEMPLASTS
GRSE
YUKEN
SERVOTECH
KOTHARIPRO
AMIORG
VIJAYA
INTLCONV
ASTRAZEN
GANESHBE
ITDCEM
PAR
J&KBANK
ARCHIES
CUB
AXISCETF
CYIENT
SANSERA
MASPTOP50
BANKNIFTY1
AXISBANK
PARAS
INTELLECT
MONTECARLO
SOUTHBANK
BSLSENETFG
COASTCORP
ABSLAMC
EIFFL
PASUPTAC
CYBERTECH
LICNETFGSC
ATGL
AIROLAM
GOODLUCK
PANSARI
ARTNIRMAN
BHAGCHEM
FCL
CAMLINFINE
DTIL
3IINFOLTD
SELMC
MEDICAMEQ
GULPOLY
HEALTHY
APOLSINHOT
NATIONALUM
LAMBODHARA
KRITI
